epoch,learning_rate,train_loss,train_task1_loss,train_task2_loss,train_task3_loss,val_validation_macro_f1,selection_score,patience_counter
1,0.0003,0.567178888205083,,,,0.620898847744706,0.620898847744706,0
2,0.0002991810233575568,0.41234464477682414,,,,0.6498478479818902,0.6498478479818902,0
3,0.0002967330663097039,0.3562150757130661,,,,0.6173763462732935,0.6173763462732935,1
4,0.0002926829491861254,0.30104452280749283,,,,0.625172530567734,0.625172530567734,2
5,0.00028707504591756876,0.24657516487080258,,,,0.6504898607805603,0.6504898607805603,0
6,0.00027997079786577355,0.21345877800553625,,,,0.5901878328055086,0.5901878328055086,1
7,0.0002714480406590546,0.17975377616022437,,,,0.6336122484608074,0.6336122484608074,2
8,0.0002616001514088704,0.16303546657784468,,,,0.6202707586302489,0.6202707586302489,3
9,0.0002505350256506492,0.13541755900987815,,,,0.6297964921651729,0.6297964921651729,4
10,0.00023837389521772463,0.11328457978821001,,,,0.6011597982817514,0.6011597982817514,5
11,0.00022524999999999992,0.09854124186404312,,,,0.6039720097478848,0.6039720097478848,6
12,0.0002113071281398321,0.09084157441294352,,,,0.6383671026497649,0.6383671026497649,7
13,0.00019669804065905458,0.07601096258924904,,,,0.634190341458441,0.634190341458441,8
14,0.00018158279777725494,0.0654952285397529,,,,0.6271863926249153,0.6271863926249153,9
15,0.00016612700525851415,0.060154939782595805,,,,0.6024155559653209,0.6024155559653209,10
16,0.0001505,0.049772894361070096,,,,0.6009499013459055,0.6009499013459055,11
17,0.0001348729947414858,0.040103726408361025,,,,0.6304434899266375,0.6304434899266375,12
18,0.00011941720222274492,0.03397030647723555,,,,0.6193087177267772,0.6193087177267772,13
19,0.00010430195934094534,0.028685613125266803,,,,0.6169782517345798,0.6169782517345798,14
20,8.969287186016786e-05,0.0258624198798876,,,,0.6012105026014977,0.6012105026014977,15
21,7.575000000000001e-05,0.022710831259799127,,,,0.6229576775469039,0.6229576775469039,16
22,6.262610478227527e-05,0.022089737474646865,,,,0.592737650280359,0.592737650280359,17
23,5.046497434935074e-05,0.018419419541092198,,,,0.6169573767907873,0.6169573767907873,18
24,3.939984859112959e-05,0.02001840995241342,,,,0.6209240378960817,0.6209240378960817,19
25,2.9551959340945373e-05,0.015188308554035593,,,,0.6099012602291066,0.6099012602291066,20
26,2.1029202134226415e-05,0.013557194507620137,,,,0.6102845622223987,0.6102845622223987,21
27,1.3924954082431155e-05,0.013093792578204162,,,,0.6115465849380157,0.6115465849380157,22
28,8.317050813874547e-06,0.01023116951433716,,,,0.6119084046557645,0.6119084046557645,23
29,4.26693369029605e-06,0.011415602454401794,,,,0.6064081379998127,0.6064081379998127,24
30,1.8189766424431266e-06,0.012450923556250909,,,,0.6115843694860421,0.6115843694860421,25
