epoch,learning_rate,train_loss,train_task1_loss,train_task2_loss,train_task3_loss,val_task1_macro_f1,val_task2_macro_f1,val_task3_macro_f1,selection_score,patience_counter
1,0.0003,0.5137709784903366,0.46030246336913727,0.17252721215024042,1.008637798482847,0.7763648500046281,0.616998735543746,0.24075334694803724,0.5447056441654704,0
2,0.0002991810233575568,0.41213372788077784,0.4050912159657999,0.13116472921518085,0.7210574583699205,0.759565596855106,0.6239019407558734,0.24403248924988055,0.5425000089536199,1
3,0.0002967330663097039,0.34972365799492755,0.3786248487525456,0.11853394330256384,0.6007119395663516,0.7933189819549316,0.6722582451162095,0.3063577045340472,0.5906449772017295,0
4,0.0002926829491861254,0.3307415060459296,0.3772428410318766,0.10726721010175116,0.5333062267363674,0.781727202259761,0.6689925221106715,0.328335168740286,0.5930182977035728,0
5,0.00028707504591756876,0.2752774655987143,0.35563142129599257,0.09718735494433105,0.39174337348640464,0.76051794745534,0.6497774832565667,0.33229898670877744,0.5808648058068947,1
6,0.00027997079786577355,0.3028295837954159,0.35472248152726804,0.09408759092244716,0.504539473349956,0.7763666207081709,0.6585775335775336,0.3061806600017694,0.5803749380958246,2
7,0.0002714480406590546,0.26401801865355723,0.34396036070025543,0.08926697681755169,0.37085644824521286,0.7603018488117572,0.6789229677053142,0.5483333333333332,0.6625193832834683,0
8,0.0002616001514088704,0.22136812719269092,0.3239904023625115,0.07706404322341569,0.2784624654699355,0.8058746921186382,0.6700831246293205,0.5677192982456141,0.6812257049978575,0
9,0.0002505350256506492,0.22451183358666751,0.3205116730878646,0.07412376178073965,0.3140678803822745,0.7533543753702794,0.6259444289754994,0.42806947671202555,0.6024560936859348,1
10,0.00023837389521772463,0.20347917972582297,0.31049791954699674,0.0709738941651822,0.20814452840039105,0.7660714285714285,0.6669345726265016,0.3993427230046948,0.6107829080675417,2
11,0.00022524999999999992,0.17919694967942174,0.2929817583969725,0.059546817446454466,0.17651737463430353,0.7859927905427291,0.7040669884872556,0.3249200913242009,0.6049932901180618,3
12,0.0002113071281398321,0.15485426699964494,0.28089684546098226,0.05125745582756876,0.12723294513227718,0.7798893641931388,0.6873447889971228,0.48576539387684897,0.6509998490223702,4
13,0.00019669804065905458,0.13346834950639372,0.2640595613188887,0.04465834958609297,0.0815428718527606,0.7911596618109417,0.6900738042201512,0.5684972795994029,0.683243581876832,0
14,0.00018158279777725494,0.11372678185211696,0.24572825998666548,0.040944335101914434,0.05228166509405495,0.7540719666939989,0.6987252884978005,0.549622581228757,0.6674732788068521,1
15,0.00016612700525851415,0.11700089397448182,0.2362766937378605,0.036476144795094825,0.07316280735324737,0.8061883191287216,0.7034175641169464,0.45843896713615023,0.6560149501272727,2
16,0.0001505,0.11128660836497256,0.2216830264217412,0.03739443354321481,0.06637516236442993,0.8013311249488864,0.6972427200129063,0.5112475858734143,0.6699404769450691,3
17,0.0001348729947414858,0.1046319693093147,0.20336599851841194,0.03177412215011331,0.06810740147924738,0.7724603177334974,0.6832656469802169,0.4831619989166172,0.6462959878767772,4
18,0.00011941720222274492,0.09553500265892263,0.19858865149508872,0.031637175182835944,0.059137645955542766,0.7937922095746697,0.7252022227995204,0.4727400189684391,0.6639114837808764,5
19,0.00010430195934094534,0.08856506394635529,0.18180019903081346,0.027848592911608412,0.036956302790291745,0.7986040798094103,0.7274498286321188,0.4981401061543186,0.6747313381986159,6
20,8.969287186016786e-05,0.08600708043730707,0.1732339166801817,0.023791958909482,0.039822323948529595,0.8012569039293904,0.7129666191866807,0.4295536647260786,0.6479257292807166,7
21,7.575000000000001e-05,0.06929069058575389,0.1614947526319106,0.02099512610235114,0.01982110396041587,0.7833935084412507,0.7201221438468739,0.40193801833260584,0.6351512235402434,8
22,6.262610478227527e-05,0.0626844340206397,0.15089924037204158,0.018802777778317344,0.011986936718595879,0.7972294299694247,0.7068357928871323,0.4419501133786848,0.6486717787450805,9
23,5.046497434935074e-05,0.05910917698247046,0.13900481391575426,0.018750213842068084,0.013399642928273425,0.7987243134012445,0.713800471551735,0.4413513427212058,0.6512920425580617,10
24,3.939984859112959e-05,0.054999063756745396,0.13287806053160994,0.016424605626293116,0.008409147403637409,0.7978120603962671,0.7228001769703836,0.4016216216216216,0.6407446196627574,11
25,2.9551959340945373e-05,0.054244281466954015,0.12450543478548116,0.01640590562177603,0.012590328053609786,0.7948960879087723,0.7277850088337373,0.4471073483121676,0.656596148351559,12
26,2.1029202134226415e-05,0.04746721811674157,0.11500407414172777,0.014069368098257526,0.007631460386798341,0.8023706743341197,0.704146604289817,0.4473127080264091,0.6512766622167819,13
27,1.3924954082431155e-05,0.047175022004648855,0.11602424384333859,0.014220847655348765,0.005006308137851653,0.7951568871380192,0.7148243868306879,0.44034193479876815,0.6501077362558251,14
28,8.317050813874547e-06,0.04469963534383913,0.11343224694170502,0.013152071946001077,0.003986541910087426,0.790553878782935,0.7176772442566878,0.46586470204520164,0.6580319416949415,15
29,4.26693369029605e-06,0.044337807495480455,0.11065167423465616,0.012479589279666697,0.004659179039453521,0.7958413781758318,0.7184506010983385,0.47192613063122335,0.6620727033017979,16
30,1.8189766424431266e-06,0.04834742200894016,0.11068129044122292,0.013173610398581507,0.019725970297294653,0.800837454380144,0.7283045691731136,0.4414965986394558,0.6568795407309045,17
